,Symbol,name_a,price,changesPercentage,change_a,yearHigh,yearLow,priceAvg50,priceAvg200,Name,Change,%_Change,50_Day_Avg,200_Day_Avg,fund_extended_name,fund_family,net_assets,ytd_return,fund_yield,morningstar_rating,inception_date,investment,f_size,net_annual_expense_ratio_fund,price_earnings,price_book,morningstar_return_rating,fund_return_1month,fund_return_3months,fund_return_1year,fund_return_3years,fund_return_5years,fund_return_10years,fund_return_2018,portfolio_cash,portfolio_stocks,portfolio_bonds,portfolio_others,portfolio_preferred,portfolio_convertable,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,morningstar_risk_rating,fund_alpha_3years,fund_beta_3years,fund_r_squared_3years,fund_standard_deviation_3years,fund_sharpe_ratio_3years,fund_treynor_ratio_3years
584,PRDGX,T. Rowe Price Dividend Growth Fund,49.64,0.3,0.150002,55.67,37.2,46.982647,49.88228,T. Rowe Price Dividend Growth Fund,0.15,0.3,46.98,49.88,T. Rowe Price Dividend Growth Fund,T. Rowe Price,10240.0,13.0,1.6,5,1992-12-29,Blend,Large,0.64,18.28,3.28,4.0,1.96,13.0,12.63,13.36,11.03,15.3,-1.06,4.94,95.06,0.0,0.0,0.0,0.0,3.12,9.74,18.37,1.55,8.54,19.13,5.03,3.71,4.0,14.15,12.67,1.0,1.5,0.85,94.14,9.45,1.24,14.14
585,CTCAX,Columbia Global Technology Growth Fund Class A,41.79,-0.26,-0.11,44.07,30.63,39.199707000000004,38.835148,Columbia Global Technology Growth Fund Class A,-0.11,-0.26,39.2,38.84,Columbia Global Technology Growth Fund Class A,Columbia,1430.0,19.59,0.0,4,2002-10-31,Growth,Large,1.25,22.2,4.87,4.0,3.82,19.59,10.73,24.41,18.74,20.75,-1.34,1.57,98.43,0.0,0.0,0.0,0.0,0.0,8.18,9.01,0.0,0.0,0.0,0.0,0.96,0.0,3.77,78.08,3.0,10.77,1.18,63.96,14.74,1.48,19.66
586,GWETX,AMG GW&K Small Cap Core Fund Class N,23.15,-1.74,-0.41,27.11,15.79,20.885588000000002,23.521029000000002,AMG GW&K Small Cap Core Fund Class N,-0.41,-1.74,20.89,23.52,AMG GW&K Small Cap Core Fund Class N,AMG Funds,405.57,12.79,0.0,3,1996-12-09,Growth,Small,1.3,18.71,2.28,2.0,-2.27,12.79,-2.57,10.31,6.35,15.1,-14.08,1.41,98.59,0.0,0.0,0.0,0.0,5.04,13.76,15.07,5.15,7.67,15.94,3.09,0.0,2.21,16.51,15.57,2.0,-4.95,1.21,80.84,14.43,0.66,7.45
587,DMIDX,BNY Mellon MidCap Index Fund Class I,28.03,-1.44,-0.41,36.08,19.22,25.363529999999997,29.483162,BNY Mellon MidCap Index Fund Class I,-0.41,-1.44,25.36,29.48,Dreyfus Mid Cap Index Fund Class I,Dreyfus,2960.0,14.42,1.5,3,2016-08-30,Blend,Medium,0.25,16.41,1.92,3.0,-0.56,14.42,2.36,10.95,7.94,15.81,-11.3,1.02,98.98,0.0,0.0,0.0,0.0,5.81,14.3,16.03,9.85,3.44,8.93,4.02,0.59,4.45,15.57,17.0,3.0,-3.86,1.16,84.04,13.55,0.74,8.34
588,RISAX,Manning & Napier Rainier International Discovery Series Class S,21.45,0.47,0.1,22.54,15.06,19.724707000000002,20.392574,Manning & Napier Rainier International Discovery Series Class S,0.1,0.47,19.72,20.39,Manning & Napier Rainier International Discovery Series Class S,Manning & Napier,444.16,11.07,0.12,4,2012-11-29,Growth,Medium,1.41,23.34,3.5,4.0,1.73,11.07,-11.71,6.92,5.7,0.0,-18.29,8.06,91.95,0.0,0.0,0.0,0.0,3.86,10.43,13.37,1.13,6.98,24.6,0.0,0.0,0.0,23.91,15.71,3.0,-1.2,1.06,70.4,13.43,0.47,5.28
589,AULDX,American Century Ultra Fund R6 Class,58.88,0.07,0.04,60.76,41.37,54.653236,53.94706,American Century Ultra Fund R6 Class,0.04,0.07,54.65,53.95,American Century Ultra Fund R6 Class,American Century Investments,12030.0,16.91,0.0,4,2013-07-25,Growth,Large,0.62,23.29,5.85,4.0,2.25,16.91,14.5,18.57,14.06,17.49,1.0,1.97,98.03,0.0,0.0,0.0,0.0,1.34,22.15,15.07,0.0,4.71,15.29,0.0,0.0,1.63,7.37,32.45,3.0,3.28,1.12,86.34,12.89,1.29,15.5
590,PSGCX,Virtus KAR Small-Cap Growth Fund Class C,37.16,-0.32,-0.12,38.32,25.85,33.130295000000004,34.077427,Virtus KAR Small-Cap Growth Fund Class C,-0.12,-0.32,33.13,34.08,Virtus KAR Small-Cap Growth Fund Class C,Virtus,4830.0,21.87,0.0,5,2006-06-27,Growth,Medium,2.14,24.62,6.29,5.0,2.12,21.87,21.84,27.4,19.34,20.78,8.01,1.84,98.16,0.0,0.0,0.0,0.0,3.14,9.92,15.14,0.0,7.28,5.1,0.0,0.0,0.0,13.04,46.38,1.0,12.84,0.93,58.77,13.03,1.84,28.1
591,HRMVX,Harbor Mid Cap Value Fund Administrative Class,15.74,-2.3,-0.37,22.0,11.0,14.245588,18.073235,Harbor Mid Cap Value Fund Administrative Class,-0.37,-2.3,14.25,18.07,Harbor Mid Cap Value Fund Administrative Class,Harbor,909.27,12.4,1.35,3,2002-10-31,Value,Medium,1.09,10.4,1.45,3.0,-2.17,12.4,-5.38,6.04,4.63,15.46,-17.87,2.33,97.67,0.0,0.0,0.0,0.0,5.71,17.09,20.87,13.57,5.62,3.07,5.98,0.0,4.67,12.31,11.11,4.0,-8.65,1.18,80.21,14.16,0.39,4.01
592,FCAZX,Franklin Corefolio Allocation Fund Advisor Class,18.8,0.27,0.05,20.96,14.1,17.662941,18.872574,Franklin Corefolio Allocation Fund Advisor Class,0.05,0.27,17.66,18.87,Franklin Corefolio Allocation Fund Advisor Class,Franklin Templeton Investments,791.48,13.14,0.96,5,2003-08-14,Growth,Large,0.75,15.87,2.11,5.0,0.56,13.14,4.86,11.69,7.24,13.52,-6.85,2.96,95.37,1.57,0.09,0.0,0.0,2.74,8.53,18.4,1.52,5.52,17.08,0.71,6.0,5.76,12.64,21.1,4.0,-0.85,1.69,90.57,10.87,0.95,6.16
593,FEATX,Fidelity Advisor Emerging Asia Fund Class M,39.55,-0.35,-0.14,41.63,31.41,38.187355,38.3875,Fidelity Advisor Emerging Asia Fund Class M,-0.14,-0.35,38.19,38.39,Fidelity Advisor Emerging Asia Fund Class M,Fidelity Investments,286.44,16.05,0.14,4,1999-06-14,Growth,Large,1.61,16.9,2.2,4.0,4.88,16.05,-1.81,13.74,8.08,12.37,-15.31,3.2,96.8,0.0,0.0,0.0,0.0,1.53,11.98,25.21,5.55,7.87,2.99,3.03,3.77,4.88,8.26,24.93,4.0,5.55,1.0,58.25,13.83,0.91,12.48
594,MCDFX,Matthews China Dividend Fund Investor Class,15.23,-0.46,-0.069999,16.97,13.09,15.215882,15.461544,Matthews China Dividend Fund Investor Class,-0.07,-0.46,15.22,15.46,Matthews China Dividend Fund Investor Class,Matthews Asia Funds,358.08,16.27,2.22,5,2009-11-29,Value,Large,1.19,10.99,1.44,5.0,4.45,16.27,2.69,16.11,12.02,0.0,-9.98,2.39,97.55,0.0,0.0,0.0,0.07,1.77,16.94,12.54,6.54,12.54,4.28,5.16,10.85,4.41,12.74,12.23,2.0,8.25,0.88,57.52,12.32,1.17,16.78
595,TIBIX,Thornburg Investment Income Builder Fund Class I,18.55,0.11,0.020000999999999998,23.16,14.9,17.633236,20.331910999999998,Thornburg Investment Income Builder Fund Class I,0.02,0.11,17.63,20.33,Thornburg Investment Income Builder Fund Class I,Thornburg,14410.0,7.18,4.47,5,2003-11-02,Value,Large,1.04,12.53,1.57,5.0,1.13,7.18,4.98,8.47,4.57,11.17,-4.39,1.89,88.95,7.93,0.5,0.4,0.33,4.74,4.22,20.15,7.23,5.09,9.45,5.05,16.12,11.79,8.57,7.58,4.0,0.25,1.03,74.71,7.31,0.97,6.94
596,ITTAX,Hartford Multi-Asset Income and Growth Fund Class A,19.12,-0.36,-0.07,23.51,16.75,18.667939999999998,20.21353,Hartford Multi-Asset Income and Growth Fund Class A,-0.07,-0.36,18.67,20.21,Hartford Balanced Fund Class A,Hartford Mutual Funds,982.69,8.64,1.94,4,1996-07-21,Blend,Large,1.02,14.64,2.21,4.0,1.55,8.64,4.14,7.38,6.07,10.95,-5.32,0.25,58.92,40.67,0.07,0.0,0.09,0.62,9.37,12.76,3.75,1.32,19.09,3.75,5.76,14.28,5.32,23.98,4.0,-1.21,1.1,91.26,7.03,0.86,5.55
597,BPTIX,Baron Partners Fund Institutional Shares,74.26,-1.64,-1.24,92.68,45.17,67.73441,69.82154,Baron Partners Fund Institutional Shares,-1.24,-1.64,67.73,69.82,Baron Partners Fund Institutional Shares,Baron Capital Group,2270.0,16.8,0.0,3,2009-05-28,Growth,Medium,1.53,28.46,2.76,4.0,-0.95,16.8,10.88,17.49,10.06,18.15,-1.75,0.0,100.0,0.0,0.0,0.0,0.0,0.0,33.61,19.95,22.13,0.0,9.32,0.0,0.0,0.0,3.07,11.91,5.0,1.14,1.26,68.9,16.26,1.0,12.89
598,ABSIX,AB Discovery Value Fund Class I,15.03,-2.34,-0.35999899999999996,20.29,10.52,13.64,16.803601999999998,AB Discovery Value Fund Class I,-0.36,-2.34,13.64,16.8,AB Discovery Value Fund Class I,AllianceBernstein,2880.0,11.73,0.55,4,2005-02-28,Value,Medium,0.86,13.49,1.48,4.0,-2.3,11.73,-2.59,8.76,6.03,15.61,-15.05,1.56,98.44,0.0,0.0,0.0,0.0,3.34,12.32,23.61,11.64,5.82,2.79,5.4,0.0,6.73,15.19,13.17,3.0,-5.97,1.18,70.28,15.15,0.54,6.3
599,CYPIX,ProFunds Consumer Services UltraSector Fund Investor Class,45.62,-1.38,-0.64,142.49,29.88,41.98941,47.716175,ProFunds Consumer Services UltraSector Fund Investor Class,-0.64,-1.38,41.99,47.72,ProFunds Consumer Services UltraSector Fund Investor Class,ProFunds,43.41,19.65,0.0,4,2004-01-29,Growth,Large,1.52,20.15,4.11,4.0,3.47,19.65,16.11,16.86,15.87,26.53,-1.12,21.39,76.72,0.0,1.89,0.0,0.0,0.07,72.1,0.0,0.0,13.8,0.82,0.0,8.26,0.0,4.65,0.28,4.0,-3.75,1.67,83.58,19.6,0.83,9.35
600,FGTRX,Franklin Growth Allocation Fund Class R,16.98,0.24,0.040001,19.77,13.56,16.174706,17.331839000000002,Franklin Growth Allocation Fund Class R,0.04,0.24,16.17,17.33,Franklin Growth Allocation Fund Class R,Franklin Templeton Investments,1260.0,11.1,1.26,3,2002-01-01,Blend,Large,1.51,16.06,2.22,3.0,0.91,11.1,3.39,9.21,5.69,10.33,-6.68,6.94,76.68,16.11,0.23,0.0,0.02,5.76,10.66,13.64,2.01,7.58,12.48,6.12,3.76,4.62,14.29,19.08,3.0,-1.07,1.35,94.21,8.5,0.93,5.88
601,BWLAX,American Beacon Bridgeway Large Cap Value Fund A Class,21.6,-1.1,-0.24,27.83,15.74,20.221766,23.678236,American Beacon Bridgeway Large Cap Value Fund A Class,-0.24,-1.1,20.22,23.68,American Beacon Bridgeway Large Cap Value Fund A Class,American Beacon,4350.0,10.93,1.37,3,2012-02-02,Value,Large,1.08,10.3,1.63,3.0,-0.64,10.93,-2.81,7.86,6.8,14.43,-13.57,1.04,98.96,0.0,0.0,0.0,0.0,4.87,8.24,25.67,3.18,8.41,14.9,4.47,4.14,9.79,7.93,8.41,3.0,-5.43,1.03,89.16,11.72,0.59,6.36
602,JVTCX,Janus Henderson Venture Fund Class C,67.65,-0.89,-0.61,75.9,47.46,61.298823999999996,66.87772,Janus Henderson Venture Fund Class C,-0.61,-0.89,61.3,66.88,Janus Henderson Venture Fund Class C,Janus Henderson,3450.0,20.46,0.0,4,2011-05-05,Growth,Medium,1.75,17.3,2.72,4.0,0.61,20.46,7.83,14.93,10.0,17.73,-7.47,2.36,97.64,0.0,0.0,0.0,0.0,2.97,10.18,6.83,2.31,2.7,21.47,0.0,0.0,3.13,23.61,26.79,3.0,-0.96,1.23,78.64,14.88,0.93,11.1
603,LSWWX,Loomis Sayles Global Allocation Fund Class Y,24.08,0.5,0.12,25.42,18.89,22.87,23.670662,Loomis Sayles Global Allocation Fund Class Y,0.12,0.5,22.87,23.67,Loomis Sayles Global Allocation Fund Class Y,Natixis Funds,2600.0,11.84,0.94,5,1996-04-30,Growth,Large,0.91,19.05,3.91,5.0,1.4,11.84,4.56,10.58,7.37,12.99,-5.04,4.38,69.94,24.83,0.25,0.1,0.5,8.16,13.77,20.68,2.71,4.51,10.08,0.0,0.0,1.05,17.51,21.53,5.0,0.42,1.31,89.74,8.5,1.08,7.08
604,JANVX,Janus Henderson Venture Fund Class D,76.82,-0.9,-0.7,85.4,53.79,69.56705500000001,75.67228,Janus Henderson Venture Fund Class D,-0.7,-0.9,69.57,75.67,Janus Henderson Venture Fund Class D,Janus Henderson,3450.0,20.74,0.0,4,1985-04-29,Growth,Medium,0.8,17.3,2.72,4.0,0.7,20.74,8.85,16.01,11.05,18.89,-6.6,2.36,97.64,0.0,0.0,0.0,0.0,2.97,10.18,6.83,2.31,2.7,21.47,0.0,0.0,3.13,23.61,26.79,2.0,-0.02,1.23,78.58,14.9,0.99,11.98
605,FEYAX,Fidelity Advisor Asset Manager 85% Fund Class A,18.73,0.05,0.01,21.01,14.24,17.632353,18.816544,Fidelity Advisor Asset Manager 85% Fund Class A,0.01,0.05,17.63,18.82,Fidelity Advisor Asset Manager 85% Fund Class A,Fidelity Investments,2530.0,11.83,0.9,4,2006-10-01,Growth,Large,1.04,15.15,2.07,4.0,1.31,11.83,1.19,9.87,6.27,12.37,-9.47,5.97,80.02,10.04,3.81,0.16,0.0,3.89,11.61,17.08,4.31,7.78,12.97,3.17,2.75,5.42,9.89,21.13,5.0,-1.69,1.55,95.86,9.69,0.89,5.54
606,WEIMX,TETON Westwood Mighty Mites Class Institutional,21.53,-2.14,-0.47,27.64,16.37,19.684706,23.549559,TETON Westwood Mighty Mites Class Institutional,-0.47,-2.14,19.68,23.55,TETON Westwood Mighty Mites Class Institutional,Teton Westwood Funds,1130.0,9.62,0.0,3,2008-01-10,Growth,Small,1.15,14.95,1.57,2.0,-3.07,9.62,-2.96,10.15,4.88,13.9,-13.51,11.72,81.68,5.89,0.02,0.67,0.02,8.37,24.46,8.97,2.05,5.43,8.02,2.25,3.4,0.63,28.05,8.38,1.0,-2.01,0.94,57.73,13.22,0.7,9.44
607,IMIDX,Congress Mid Cap Growth Fund Institutional Class,21.88,0.09,0.020000999999999998,23.53,15.26,19.972939999999998,21.064264,Congress Mid Cap Growth Fund Institutional Class,0.02,0.09,19.97,21.06,Congress Mid Cap Growth Fund Institutional Class,Congress,1080.0,17.41,0.02,4,2012-10-30,Growth,Medium,0.83,22.45,4.3,3.0,2.35,17.41,10.71,12.22,10.04,0.0,-5.01,0.08,99.92,0.0,0.0,0.0,0.0,0.0,17.96,4.39,0.0,10.44,14.99,0.0,0.0,0.0,29.34,22.88,2.0,-1.66,1.06,84.38,12.37,0.89,10.34
608,FADCX,Fidelity Advisor Diversified International Fund Class C,21.68,1.4,0.29999899999999996,24.03,16.31,20.288235,21.637204999999998,Fidelity Advisor Diversified International Fund Class C,0.3,1.4,20.29,21.64,Fidelity Advisor Diversified International Fund Class C,Fidelity Investments,1870.0,10.97,0.0,2,1998-12-16,Growth,Large,1.95,16.52,2.27,2.0,1.6,10.97,-4.96,5.06,2.29,8.72,-16.21,4.65,95.35,0.0,0.0,0.0,0.0,6.24,8.97,25.53,0.7,10.61,13.89,0.6,0.86,4.33,10.94,17.34,3.0,-2.63,0.98,86.63,11.12,0.38,3.85
609,JENIX,Jensen Quality Growth Fund Class I,49.34,0.26,0.13,55.02,36.83,47.33441,49.452427,Jensen Quality Growth Fund Class I,0.13,0.26,47.33,49.45,Jensen Quality Growth Fund Class I,Jensen,7360.0,14.46,1.11,4,2003-07-29,Growth,Large,0.62,20.51,6.14,3.0,3.01,14.46,17.34,15.3,13.06,16.16,2.44,2.22,97.78,0.0,0.0,0.0,0.0,9.87,7.28,2.72,0.0,9.66,24.57,0.0,0.0,0.0,15.45,30.44,1.0,2.82,0.89,91.38,10.02,1.35,15.73
610,LGRRX,Loomis Sayles Growth Fund Class A,17.87,0.56,0.1,18.37,13.52,16.831764,16.767205999999998,Loomis Sayles Growth Fund Class A,0.1,0.56,16.83,16.77,Loomis Sayles Growth Fund Class A,Natixis Funds,8390.0,15.86,0.34,4,1996-12-30,Growth,Large,0.9,22.25,6.07,4.0,2.79,15.86,12.09,16.58,13.87,16.93,-2.72,0.95,99.05,0.0,0.0,0.0,0.0,0.0,18.53,11.65,0.0,13.99,13.39,0.0,0.0,1.8,6.93,33.7,3.0,2.27,1.05,81.72,12.5,1.19,14.53
611,FREAX,Nuveen Real Estate Securities Fund Class A,16.93,0.83,0.14,22.87,12.77,16.147351999999998,18.849045,Nuveen Real Estate Securities Fund Class A,0.14,0.83,16.15,18.85,Nuveen Real Estate Securities Fund Class A,Nuveen,3440.0,16.5,2.1,3,1995-09-28,Blend,Medium,1.29,42.31,2.36,3.0,3.47,16.5,18.1,5.59,8.58,17.77,-5.78,2.71,97.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.61,0.0,0.0,0.0,0.15,0.0,0.24,0.0,3.0,-1.44,0.69,27.2,13.26,0.38,6.25
612,KMKNX,Kinetics Market Opportunities Fund No Load Class,25.03,0.97,0.24,28.03,19.24,23.561766,24.918898000000002,Kinetics Market Opportunities Fund No Load Class,0.24,0.97,23.56,24.92,Kinetics Market Opportunities Fund No Load Class,Kinetics,81.89,15.07,0.0,3,2006-01-30,Growth,Medium,1.4,24.25,3.39,3.0,1.74,15.07,8.41,21.13,9.57,15.36,-10.86,47.86,46.49,0.0,5.35,0.3,0.0,0.35,0.0,27.6,65.31,0.07,0.0,0.0,0.0,0.0,6.67,0.0,4.0,11.77,0.62,18.18,15.53,1.23,32.15
613,FKKSX,Federated Kaufmann Small Cap Fund Class R Shares,45.22,-0.53,-0.24000300000000002,47.73,31.03,41.69206,41.92125,Federated Kaufmann Small Cap Fund Class R Shares,-0.24,-0.53,41.69,41.92,Federated Kaufmann Small Cap Fund Class R Shares,Federated,2400.0,22.66,0.0,5,2005-11-07,Growth,Small,1.37,22.08,3.56,5.0,1.29,22.66,21.86,29.17,15.57,20.06,6.94,10.42,89.32,0.17,0.09,0.0,0.0,1.45,12.22,4.25,7.83,0.0,33.39,0.0,0.59,0.33,9.04,30.91,4.0,11.44,1.19,70.48,15.21,1.69,23.47
614,FIRFX,Fidelity Advisor Managed Retirement 2025 Fund Class I,52.11,-0.04,-0.02,55.3,45.03,50.42794,52.244409999999995,Fidelity Advisor Managed Retirement 2025 Fund Class I,-0.02,-0.04,50.43,52.24,Fidelity Advisor Managed Retirement 2025 Fund Class I,Fidelity Investments,17.39,7.64,1.7,4,2007-12-30,Blend,Large,0.65,14.37,1.83,3.0,1.39,7.64,2.68,7.65,5.44,10.63,-5.08,11.32,46.59,41.43,0.04,0.44,0.16,4.17,12.41,21.35,2.42,6.51,12.51,2.09,2.44,6.84,10.18,19.08,2.0,0.11,0.92,95.61,5.77,1.08,6.87
615,FPRAX,FPA Paramount Fund,19.7,0.92,0.18,23.35,14.53,18.244411,19.972427,FPA Paramount Fund,0.18,0.92,18.24,19.97,FPA Paramount Fund,FPA,160.38,10.78,0.54,3,1978-07-02,Growth,Large,1.29,17.21,2.82,4.0,-0.15,10.78,0.36,10.96,4.94,13.06,-8.63,0.88,97.16,0.0,1.96,0.0,0.0,6.64,16.77,5.01,0.0,18.32,9.06,0.0,0.0,0.01,23.57,20.62,4.0,3.4,0.89,83.08,10.29,0.94,10.89
616,HSSCX,Emerald Banking and Finance Fund Class C,20.48,-2.34,-0.49,29.92,15.3,18.286764,24.558088,Emerald Banking and Finance Fund Class C,-0.49,-2.34,18.29,24.56,Emerald Banking and Finance Fund Class C,Emerald,335.69,5.93,0.0,3,2000-07-02,Blend,Small,2.07,12.34,1.43,2.0,-6.11,5.93,-16.39,9.28,6.81,11.72,-20.11,0.44,99.56,0.0,0.0,0.0,0.0,1.38,0.0,92.74,3.97,0.0,0.0,0.0,0.0,0.0,0.03,1.87,3.0,-0.85,1.08,33.63,18.64,0.5,7.39
617,PESPX,BNY Mellon MidCap Index Fund Investor Shares,28.13,-1.44,-0.409999,36.13,19.3,25.454411999999998,29.581545000000002,BNY Mellon MidCap Index Fund Investor Shares,-0.41,-1.44,25.45,29.58,Dreyfus Mid Cap Index Fund Investor Shares,Dreyfus,2960.0,14.29,1.21,3,1991-06-18,Blend,Medium,0.5,16.41,1.92,3.0,-0.62,14.29,2.09,10.71,7.8,15.73,-11.5,1.02,98.98,0.0,0.0,0.0,0.0,5.81,14.3,16.03,9.85,3.44,8.93,4.02,0.59,4.45,15.57,17.0,3.0,-4.08,1.16,84.03,13.55,0.72,8.14
618,CBDRX,Columbia Balanced Fund Advisor Class,43.37,0.0,0.0,45.7,35.16,41.60412,42.579266,Columbia Balanced Fund Advisor Class,0.0,0.0,41.6,42.58,Columbia Balanced Fund Advisor Class,Columbia,6710.0,9.71,1.59,4,2012-11-07,Blend,Large,0.7,16.99,2.61,4.0,1.99,9.71,5.66,7.5,6.89,11.54,-5.69,5.67,56.29,37.98,0.0,0.0,0.0,3.86,11.3,17.2,0.08,7.48,13.64,1.01,6.99,5.35,8.44,24.65,3.0,-1.24,1.12,92.3,7.13,0.87,5.55
619,BLGRX,BMO Large-Cap Growth Fund Class R6,18.86,0.05,0.01,19.97,13.73,17.663529999999998,18.073456,BMO Large-Cap Growth Fund Class R6,0.01,0.05,17.66,18.07,BMO Large-Cap Growth Fund Class R6,BMO Funds,405.39,14.18,0.72,4,2015-12-27,Growth,Large,0.39,18.31,4.95,3.0,1.32,14.18,11.91,16.43,13.78,16.76,-0.86,2.9,97.1,0.0,0.0,0.0,0.0,2.1,16.12,15.51,3.11,5.42,12.58,0.0,1.95,2.21,8.35,32.64,3.0,1.84,1.07,90.76,12.1,1.22,14.11
620,TWCIX,American Century Select Fund Investor Class,83.91,0.24,0.19999,87.54,60.46,78.539116,78.83059,American Century Select Fund Investor Class,0.2,0.24,78.54,78.83,American Century Select Fund Investor Class,American Century Investments,3050.0,15.74,0.04,3,1971-06-29,Growth,Large,0.97,21.92,5.54,3.0,2.72,15.74,10.42,15.44,12.69,15.99,-3.63,0.39,99.61,0.0,0.0,0.0,0.0,1.24,18.37,14.58,0.48,6.1,12.56,0.0,0.73,1.35,12.31,32.27,3.0,1.01,1.07,89.51,12.15,1.14,13.22
621,PRDMX,T. Rowe Price Diversified Mid Cap Growth Fund,36.26,0.28,0.1,38.85,24.9,33.109413,34.53581,T. Rowe Price Diversified Mid Cap Growth Fund,0.1,0.28,33.11,34.54,T. Rowe Price Diversified Mid Cap Growth Fund,T. Rowe Price,1190.0,19.39,0.27,4,2003-12-30,Growth,Medium,0.84,20.88,3.61,4.0,1.54,19.39,12.72,15.84,11.57,17.51,-3.11,0.32,99.68,0.0,0.0,0.0,0.0,2.38,15.38,7.5,1.91,6.35,13.28,0.77,0.81,1.76,21.0,28.84,3.0,0.83,1.12,89.96,12.69,1.13,12.99
622,MVALX,Meridian Contrarian Fund Legacy Class,31.04,-1.99,-0.63,37.91,21.13,28.061176,31.857132,Meridian Contrarian Fund Legacy Class,-0.63,-1.99,28.06,31.86,Meridian Contrarian Fund Legacy Class,Meridian,619.11,16.34,1.12,3,1994-02-09,Blend,Medium,1.12,12.17,1.87,3.0,1.81,16.34,5.31,16.19,9.75,15.03,-7.31,5.4,94.6,0.0,0.0,0.0,0.0,6.86,17.26,10.31,5.24,2.83,12.42,2.52,2.49,4.15,10.82,25.1,3.0,0.54,1.19,81.37,14.12,1.05,12.55
623,CCIZX,Columbia Seligman Communications and Information Fund Institutional Class,86.54,-1.92,-1.69,95.7,60.54,81.14941400000001,84.89052,Columbia Seligman Communications and Information Fund Institutional Class,-1.69,-1.92,81.15,84.89,Columbia Seligman Communications and Information Fund Institutional Class,Columbia,5960.0,22.47,0.0,3,2010-09-26,Growth,Large,0.98,15.38,2.92,3.0,2.51,22.47,7.41,19.81,18.1,17.88,-7.53,2.04,97.85,0.0,0.0,0.12,0.0,0.0,3.03,3.82,0.0,0.0,0.0,0.0,0.21,0.0,1.37,91.57,3.0,7.06,1.19,53.75,16.22,1.12,15.61
624,FDSVX,Fidelity Growth Discovery Fund,42.13,-0.02,-0.01,43.91,30.26,39.314116999999996,38.935883000000004,Fidelity Growth Discovery Fund,-0.01,-0.02,39.31,38.94,Fidelity Growth Discovery Fund,Fidelity Investments,1990.0,16.32,0.16,4,1998-03-30,Growth,Large,0.74,24.24,4.42,4.0,3.11,16.32,12.12,18.03,12.54,17.72,-0.27,0.58,98.92,0.0,0.0,0.5,0.0,2.2,14.93,12.94,1.04,4.35,15.23,0.0,2.88,2.36,7.26,36.8,3.0,3.48,1.06,81.62,12.55,1.29,15.85
625,NFRFX,Nuveen Symphony Floating Rate Income Fund Class R6,17.31,0.23,0.040001,19.36,14.87,17.009117,18.134117,Nuveen Symphony Floating Rate Income Fund Class R6,0.04,0.23,17.01,18.13,Nuveen Symphony Floating Rate Income Fund Class R6,Nuveen,1280.0,4.15,4.74,4,2015-01-27,Value,Small,0.66,0.0,0.0,4.0,-0.03,4.15,2.88,5.4,3.21,0.0,0.08,0.03,1.03,92.34,6.6,0.0,0.0,0.0,15.25,0.0,0.0,3.06,3.83,0.0,0.0,20.38,57.48,0.0,4.0,4.15,-0.16,2.56,2.92,1.35,-25.31
626,AWEIX,CIBC Atlas Disciplined Equity Fund Institutional Class,21.86,0.09,0.02,24.09,16.16,20.68706,21.540514,CIBC Atlas Disciplined Equity Fund Institutional Class,0.02,0.09,20.69,21.54,CIBC Atlas Disciplined Equity Fund Institutional Class,CIBC Private Wealth Management,1080.0,12.96,1.5,5,2005-11-30,Growth,Large,0.76,17.03,3.12,5.0,2.09,12.96,14.22,14.48,11.64,16.17,0.96,3.32,96.68,0.0,0.0,0.0,0.0,3.77,10.73,17.84,0.0,2.65,18.37,0.62,4.78,5.35,14.81,21.08,3.0,0.72,1.02,96.75,11.09,1.16,12.99
627,NCOIX,Nuveen Symphony High Yield Income Fund Class I,17.93,0.34,0.06,20.34,15.54,17.403824,18.929485,Nuveen Symphony High Yield Income Fund Class I,0.06,0.34,17.4,18.93,Nuveen Symphony Credit Opportunities Fund Class I,Nuveen,560.78,6.25,5.74,4,2010-04-27,Value,Small,0.76,0.0,0.0,4.0,0.6,6.25,5.53,9.46,3.86,0.0,-0.66,1.68,1.1,95.33,0.21,0.0,1.6,0.0,0.32,0.0,0.0,17.77,0.0,0.0,0.0,5.07,76.85,0.0,4.0,7.84,0.07,0.2,4.48,1.73,119.0
628,BTMFX,Boston Trust Midcap Fund,17.35,0.12,0.02,20.03,12.56,16.23147,17.892205999999998,Boston Trust Midcap Fund,0.02,0.12,16.23,17.89,Boston Trust Midcap Fund,Boston Trust & Walden Funds,95.92,13.81,0.44,5,2007-09-23,Blend,Medium,1.0,19.3,3.31,4.0,0.9,13.81,10.25,12.3,10.03,16.2,-3.36,1.82,98.18,0.0,0.0,0.0,0.0,4.18,14.09,15.97,6.02,8.19,10.48,5.18,0.0,2.99,16.24,16.64,1.0,-0.71,0.97,90.77,10.96,1.0,11.34
